	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
170	170	main-captions	MSRvid	2012test	250	none	none	Medics transport a patient on a stretcher.	A doctor rushes a patient on a stretcher.	3.4
5051	5094	main-news	headlines	2015	353	none	none	Suicide bomber kills 23 Iraqi army recruits	Suicide bomber kills 13 Iraqi army recruits in Baghdad	2.4
5561	5604	main-news	headlines	2016	427	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	India anti-graft party takes charge in New Delhi	India's Anti-Graft Party Forms Government in Delhi	4.0
706	706	main-captions	MSRvid	2012train	305	none	none	A person is slicing a bread pieces.	A man is slicing bread.	3.2
1718	1718	main-captions	images	2015	666	none	none	Many people run in a race on a street.	A puppy running along a street.	1.0
3112	3138	main-news	MSRpar	2012train	278	none	none	Fletcher said he expects to have the support of lawmakers from agricultural states, many of whom are on the committee.	He said he also expects to have the support of lawmakers from other agricultural states.	3.4
4499	4542	main-news	headlines	2014	240	none	none	N Korea to halt work at joint industrial zone	North Korea blocks access to joint industrial zone	4.0
670	670	main-captions	MSRvid	2012train	253	none	none	A skateboarder does tricks on a half-pipe.	A man skateboards on a half pipe.	3.5
1820	1820	main-captions	images	2015	979	none	none	A dog in the snow.	Two dogs in snow.	3.0
4115	4158	main-news	headlines	2013	507	none	none	Suicide bomber attacks Algerian security base	Suicide bomber targets Nigerian church	0.8
3444	3487	main-news	deft-news	2014	37	none	none	adherence to non-proliferation obligations will enhance mutual trust and foster international cooperation in nuclear energy.	zhang yan stated that all countries should abide by non-proliferation obligations in order to enhance mutual trust and create a sound environment for international cooperation in nuclear energy.	3.2
4329	4372	main-news	headlines	2014	28	none	none	Apple revenue misses again, iPhone disappoints	U.S. trade agency rules for Samsung, bans iPhone 4 imports	0.6
1992	1992	main-captions	images	2015	1482	none	none	A person is riding a skateboard in the air above a ramp.	A biker is riding along a track element located with a wooded area.	0.6
2069	2072	main-forum	deft-forum	2014	72	none	none	Could be a lot of things.	Could be a simple mistake.	2.2
4816	4859	main-news	headlines	2014	633	none	none	26 Palestinian prisoners released from Israeli prison	Palestinian prisoner dies of cancer, unrest in Israel jails	1.0
716	716	main-captions	MSRvid	2012train	316	none	none	A man is firing a shot gun.	A man shoots a shotgun.	5.0
1676	1676	main-captions	images	2015	526	none	none	The two dogs are playing fetch in the snow.	Two dogs are playing together in the grass.	2.2
772	772	main-captions	MSRvid	2012train	404	none	none	A man does floor exercises.	A man is exercising.	3.6
5669	5712	main-news	headlines	2016	1256	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Pro-Palestinian Activists March to UN Headquarters	Pro-Palestinian activists prepare flotilla to break Gaza blockade	2.0
399	399	main-captions	MSRvid	2012test	603	none	none	A person peels shrimp.	The lady peeled the shrimp.	3.5
3975	4018	main-news	headlines	2013	334	none	none	South Sudan accuses Sudan of bombings ahead of talks	S. Sudan accuses Sudan of bombing in blow to talks	4.4
925	925	main-captions	MSRvid	2012train	632	none	none	A man pours liquid into a pan.	The chef poured oil in the pan.	2.6
1602	1602	main-captions	images	2015	324	none	none	A blond haired lady in white poses for the camera.	A black and white dog runs with its mouth open.	0.0
1812	1812	main-captions	images	2015	952	none	none	A boy doing a back flip into a swimming pool.	A boy wearing red and blue swim trunks jumping head first into a swimming pool.	2.4
4379	4422	main-news	headlines	2014	95	none	none	Police kill gunman, find 3 more dead in Colo. home	4 dead after police standoff with gunman barricaded in US home	2.0
4534	4577	main-news	headlines	2014	285	none	none	Obama economic tour buffeted by low expectations	Obama encourages Boy Scouts to end ban on gays	1.8
2423	2426	main-forum	deft-forum	2014	426	none	none	We both thought the movie was good and we didn't find it confusing in any way.	I thought it was good, and I didn't find it confusing.	3.2
3084	3110	main-news	MSRpar	2012train	242	none	none	The army said the raid, which comes just days after Israeli troops shot and killed Abdullah Kawasme, the Hamas leader in the city, targeted militants in Hamas.	The arrests came just days after Israeli troops shot and killed Abdullah Kawasme, the militant group's leader in Hebron.	3.0
5000	5043	main-news	headlines	2015	220	none	none	Feds drop 'morning-after pill' appeal	US to allow morning-after pill for girls of any age	2.6
942	942	main-captions	MSRvid	2012train	659	none	none	A boy is cutting paper.	A man is loading a rifle.	0.0
3738	3781	main-news	headlines	2013	39	none	none	NATO: 2 International Troops Killed in Afghanistan	Three NATO troops killed in one day in Afghanistan	2.2
5468	5511	main-news	headlines	2015	1402	none	none	Israel Carrying Out Ground Offensive In Gaza	Israel Launches Ground Offensive In Gaza	4.8
4684	4727	main-news	headlines	2014	470	none	none	China launches first air-to-air missile from chopper	China court sentences Bo Xilai to life imprisonment for corruption	0.6
1655	1655	main-captions	images	2015	481	none	none	A dog leaps off a dock and into the water.	The black dog leaps off the dock and into the water.	4.0
1393	1393	main-captions	images	2014	583	none	none	A man in a black uniform on a white horse.	A man in a tux on a white horse.	3.6
2506	2509	main-news	MSRpar	2012test	102	none	none	Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.	Only 29 families of frogs are known, most of which were named by the mid-1800s.	3.8
1474	1474	main-captions	images	2014	712	none	none	A man riding a white horse in an arena.	A domestic animal stands in a pen.	0.6
906	906	main-captions	MSRvid	2012train	607	none	none	A man is carrying another man on his back.	A man is taking pictures of ant.	0.4
5667	5710	main-news	headlines	2016	1246	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Kranjcar leaves it late to rescue QPR against Moses-inspired Stoke	Harry Kane leaves it late to rescue a point for Tottenham Hotspur	0.0
1317	1317	main-captions	images	2014	463	none	none	Two women in the kitchen looking at a object.	Three men in suits sitting at a table.	0.0
5628	5671	main-news	headlines	2016	967	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	Iraq bombings kill at least 26	Iraq suicide bomber kills at least 12	2.0
438	438	main-captions	MSRvid	2012test	657	none	none	Two Sumo ringers are fighting each other.	A man rides a water toy in the water.	0.0
1880	1880	main-captions	images	2015	1166	none	none	The man is standing on the shore hitting a ball with a paddle.	Two teenage girls are standing on beside the beach listening to ipods.	0.8
298	298	main-captions	MSRvid	2012test	444	none	none	A woman rides an elephant in front of an adoring crowd.	A woman rides an elephant.	3.0
4826	4869	main-news	headlines	2014	645	none	none	Snowden thanks Russia for asylum	Snowden thanks Russia for granting asylum	5.0
3504	3547	main-news	deft-news	2014	97	none	none	the number of executions increased in iran last year amid a campaign that is aimed at improving security in society.	the number of executions increased dramatically in 2007 amid a campaign which iranian authorities state is aimed at improving security in society.	3.4
3801	3844	main-news	headlines	2013	119	none	none	Capello quits as England manager	Capello resigns as England manager	5.0
3030	3054	main-news	MSRpar	2012train	144	none	none	The pressure may well rise on Thursday, with national coverage of the final round planned by ESPN, the cable sports network.	The pressure will intensify today, with national coverage of the final round planned by ESPN and words that are even more difficult.	3.2
1519	1519	main-captions	images	2015	78	none	none	A little girl with a ribbon in her hair is picking her nose.	A little girl in a purple shirt and helmet is riding on a scooter.	1.2
2827	2851	main-news	MSRpar	2012test	607	none	none	If convicted, they face up to five years in prison and a $250,000 fine on each of the 11 counts.	If convicted, each faces up to five years in prison and a fine of $250,000 or more based on the amount of gains involved.	3.25
1622	1622	main-captions	images	2015	381	none	none	The brown and black dog sprints across the snow.	A black dog is running quickly along the ground.	2.8
2124	2127	main-forum	deft-forum	2014	127	none	none	The UK population is just over  million.	The Japanese population is nearly  million.	1.0
2959	2983	main-news	MSRpar	2012train	46	none	none	"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made""."	"However, we have decided to opt for the European consortium's engine as the best overall solution."""	3.8
2441	2444	main-forum	deft-forum	2014	444	none	none	Last night Japanese forces attacked Hong Kong.	Last night Japanese forces attacked the Philippine Islands.	2.6
2298	2301	main-forum	deft-forum	2014	301	none	none	How long after the obliteration should the kid return to school?	How long after the obliteration should it no longer bother the kid?	3.0
